epoch	b	wa
1784718738	2	10
1784718739	2	9
1784718740	2	9
1784718741	2	10
1784718742	2	9
1784718743	2	10
1784718744	2	9
1784718745	2	9
1784718746	2	10
1784718747	4	11
1784718748	2	14
1784718749	2	10
1784718750	2	9
1784718751	2	11
1784718752	2	9
1784718753	2	10
1784718754	2	10
1784718755	2	9
1784718756	2	9
1784718757	2	9
1784718758	2	9
1784718759	1	9
1784718760	3	11
1784718761	2	11
1784718762	1	9
1784718763	2	9
1784718764	2	9
1784718765	2	10
1784718766	2	9
1784718767	2	9
1784718768	2	9
1784718769	1	6
1784718770	1	8
1784718771	2	8
1784718772	1	8
1784718773	3	8
1784718774	1	6
1784718775	1	6
1784718776	2	8
1784718777	4	7
1784718778	1	15
1784718779	2	9
1784718780	2	12
1784718781	2	9
1784718782	3	9
1784718783	1	7
1784718785	1	5
1784718786	1	6
1784718787	1	5
1784718788	1	5
1784718789	1	5
1784718790	1	5
1784718791	0	6
1784718792	1	5
1784718793	1	5
1784718794	2	6
1784718795	2	7
1784718796	1	5
1784718797	1	5
1784718798	1	5
1784718799	1	5
1784718800	1	5
1784718801	1	6
1784718802	1	5
1784718803	1	5
1784718804	1	5
1784718805	1	5
1784718806	1	5
1784718807	1	5
1784718808	0	6
1784718809	1	4
1784718810	1	6
1784718811	1	5
1784718812	1	5
1784718813	1	5
1784718814	1	5
1784718815	1	4
1784718816	1	5
1784718817	1	5
1784718818	1	5
1784718819	1	5
1784718820	1	5
1784718821	1	5
1784718822	1	5
1784718823	1	5
1784718824	1	5
1784718825	1	5
1784718826	2	6
1784718827	1	6
1784718828	0	5
1784718829	1	5
1784718830	1	5
1784718831	1	5
1784718832	0	5
1784718833	1	5
1784718834	0	5
1784718835	1	5
1784718836	1	5
1784718837	1	5
1784718838	1	5
1784718839	1	5
1784718840	1	5
